# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,
# Mon Aug 26 11:19:54 2024,,,,,,,,,,,,
id,name,host,numStars,numPlanets,discoveryMethod,discYear,discFacility,controv_flag,mass,temperatureStar,metalRatio,releasedate
132,6 Lyn b,6 Lyn,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,3.496.130,-1,*,2015-09-03
133,6 Lyn b,6 Lyn,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,1.207.748,4941.00,[Fe/H],2023-09-19
134,6 Lyn b,6 Lyn,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,2.447.291,4938.00,*,2018-12-06
135,61 Vir b,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,0,54.031,5585.57,[Fe/H],2021-09-20
136,61 Vir b,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,0,50.000,5577.00,[Fe/H],2014-05-14
137,61 Vir c,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,0,111.240,5585.57,[Fe/H],2021-09-20
138,61 Vir c,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,0,110.000,5577.00,[Fe/H],2014-05-14
139,61 Vir d,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,0,260.000,5577.00,[Fe/H],2014-05-14
140,7 CMa b,7 CMa,1,2,Radial Velocity,2011,Anglo-Australian Telescope,0,4.449.620,4794.52,[M/H],2015-10-22
141,7 CMa b,7 CMa,1,2,Radial Velocity,2011,Anglo-Australian Telescope,0,19.070.000,4792.00,[Fe/H],2014-05-14
142,7 CMa b,7 CMa,1,2,Radial Velocity,2011,Anglo-Australian Telescope,0,1.906.980,4826.00,[Fe/H],2019-10-24
143,7 CMa c,7 CMa,1,2,Radial Velocity,2019,Multiple Observatories,0,1.906.980,4826.00,[Fe/H],2019-10-24
144,70 Vir b,70 Vir,1,1,Radial Velocity,1996,Lick Observatory,0,1.271.000,-1,*,2014-08-21
145,70 Vir b,70 Vir,1,1,Radial Velocity,1996,Lick Observatory,0,10.806.220,5531.00,[Fe/H],2018-09-06
146,70 Vir b,70 Vir,1,1,Radial Velocity,1996,Lick Observatory,0,4.131.769,5481.86,[Fe/H],2021-09-20
147,70 Vir b,70 Vir,1,1,Radial Velocity,1996,Lick Observatory,0,1.811.631,5495.00,*,2018-12-06
148,70 Vir b,70 Vir,1,1,Radial Velocity,1996,Lick Observatory,0,19.387.000,5545.00,[Fe/H],2014-05-14
149,70 Vir b,70 Vir,1,1,Radial Velocity,1996,Lick Observatory,0,635.660,5439.00,[Fe/H],2015-04-24
150,75 Cet b,75 Cet,2,2,Radial Velocity,2012,Okayama Astrophysical Observatory,0,-1,4846.00,[Fe/H],2015-09-03
151,75 Cet b,75 Cet,2,2,Radial Velocity,2012,Okayama Astrophysical Observatory,0,2.351.930,4809.00,[Fe/H],2023-09-19
152,75 Cet c,75 Cet,2,2,Radial Velocity,2023,Okayama Astrophysical Observatory,0,2.796.890,4809.00,[Fe/H],2023-09-19
153,8 UMi b,8 UMi,1,1,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,0,5.085.280,4847.00,[Fe/H],2018-09-06
154,8 UMi b,8 UMi,1,1,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,0,6.356.600,4847.40,[Fe/H],2015-10-15
155,81 Cet b,81 Cet,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,-1,4785.00,[Fe/H],2014-05-14
156,81 Cet b,81 Cet,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,19.070.000,-1,*,2014-07-23
157,81 Cet b,81 Cet,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,2.479.062,4734.00,[Fe/H],2023-09-19
158,91 Aqr b,91 Aqr,3,1,Radial Velocity,2013,Lick Observatory,0,-1,4665.00,[Fe/H],2014-05-14
159,AB Aur b,AB Aur,1,1,Imaging,2022,Subaru Telescope,0,-1,9770.00,*,2022-04-12
160,AB Pic b,AB Pic,1,1,Imaging,2005,Paranal Observatory,0,15.890.000,-1,*,2014-05-14
161,AF Lep b,AF Lep,1,1,Imaging,2023,Paranal Observatory,0,22.247.988,6130.00,[Fe/H],2023-06-12
162,AF Lep b,AF Lep,1,1,Imaging,2023,Paranal Observatory,0,2.701.541,6100.00,*,2023-02-25
163,AF Lep b,AF Lep,1,1,Imaging,2023,Paranal Observatory,0,92.170.238,6140.00,*,2023-02-25
164,AU Mic b,AU Mic,1,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0,157.000,-1,*,2022-05-09
165,AU Mic b,AU Mic,1,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0,-1,-1,*,2022-05-09
166,AU Mic b,AU Mic,1,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0,470.000,3700.00,*,2022-01-31
167,AU Mic b,AU Mic,1,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0,500.000,3700.00,*,2021-08-09
168,AU Mic b,AU Mic,1,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0,-1,3700.00,*,2020-06-24
169,AU Mic b,AU Mic,1,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0,-1,3678.00,[Fe/H],2023-11-29
170,AU Mic b,AU Mic,1,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0,-1,-1,*,2023-05-03
171,AU Mic b,AU Mic,1,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0,390.000,3665.00,[M/H],2023-10-21
172,AU Mic b,AU Mic,1,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0,-1,3588.00,*,2022-08-10
173,AU Mic b,AU Mic,1,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0,500.000,3700.00,*,2022-05-09
174,AU Mic c,AU Mic,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0,480.000,3665.00,[M/H],2023-10-21
175,AU Mic c,AU Mic,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0,-1,3678.00,[Fe/H],2023-11-29
176,AU Mic c,AU Mic,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0,207.000,-1,*,2022-05-09
177,AU Mic c,AU Mic,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0,1.140.000,3700.00,*,2021-08-10
178,AU Mic c,AU Mic,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0,670.000,3700.00,*,2022-05-09
179,AU Mic c,AU Mic,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0,-1,-1,*,2022-05-09
180,AU Mic d,AU Mic,1,3,Transit Timing Variations,2023,Multiple Observatories,0,51.100,3678.00,[Fe/H],2023-11-28
181,BD+03 2562 b,BD+03 2562,1,1,Radial Velocity,2017,Multiple Observatories,0,41.317.900,4095.00,[Fe/H],2017-06-15
182,BD+14 4559 b,BD+14 4559,1,1,Radial Velocity,2009,McDonald Observatory,0,14.938.010,4864.00,[Fe/H],2018-09-06
183,BD+14 4559 b,BD+14 4559,1,1,Radial Velocity,2009,McDonald Observatory,0,-1,5008.00,[Fe/H],2014-05-14
184,BD+15 2375 b,BD+15 2375,1,1,Radial Velocity,2016,Roque de los Muchachos Observatory,0,8.581.410,4649.00,[Fe/H],2016-02-04
185,BD+15 2940 b,BD+15 2940,1,1,Radial Velocity,2013,McDonald Observatory,0,-1,4796.00,[Fe/H],2014-05-14
186,BD+20 2457 b,BD+20 2457,1,2,Radial Velocity,2009,McDonald Observatory,0,-1,4137.00,[Fe/H],2014-05-14
187,BD+20 2457 b,BD+20 2457,1,2,Radial Velocity,2009,McDonald Observatory,0,2.496.554.650,4259.00,[Fe/H],2018-09-06
188,BD+20 2457 c,BD+20 2457,1,2,Radial Velocity,2009,McDonald Observatory,0,-1,4137.00,[Fe/H],2014-05-14
189,BD+20 274 b,BD+20 274,1,1,Radial Velocity,2012,McDonald Observatory,0,-1,4296.00,[Fe/H],2015-09-18
190,BD+20 594 b,BD+20 594,1,1,Transit,2016,K2,0,600.000,5766.00,[Fe/H],2016-07-28
191,BD+20 594 b,BD+20 594,1,1,Transit,2016,K2,0,-1,5703.00,[Fe/H],2018-02-15
192,BD+20 594 b,BD+20 594,1,1,Transit,2016,K2,0,953.490,5766.00,[Fe/H],2018-04-26
193,BD+45 564 b,BD+45 564,1,1,Radial Velocity,2021,Haute-Provence Observatory,0,3.813.941,5004.00,[Fe/H],2021-05-28
194,BD+48 738 b,BD+48 738,1,1,Radial Velocity,2011,McDonald Observatory,0,-1,4414.00,[Fe/H],2015-08-13
195,BD+48 740 b,BD+48 740,1,1,Radial Velocity,2018,Multiple Observatories,0,22.248.100,4534.00,[Fe/H],2018-02-01
196,BD+49 828 b,BD+49 828,1,1,Radial Velocity,2015,McDonald Observatory,0,12.710.000,4943.00,[Fe/H],2015-02-05
197,BD+55 362 b,BD+55 362,1,1,Radial Velocity,2021,Haute-Provence Observatory,0,2.542.627,5012.00,[Fe/H],2021-05-28
198,BD+60 1417 b,BD+60 1417,1,1,Imaging,2021,Wide-field Infrared Survey Explorer (WISE) Sat,0,158.914.204,4993.00,*,2022-01-10
199,BD+63 1405 b,BD+63 1405,1,1,Radial Velocity,2021,Haute-Provence Observatory,0,41.317.693,5000.00,[Fe/H],2023-06-12
200,BD+63 1405 b,BD+63 1405,1,1,Radial Velocity,2021,Haute-Provence Observatory,0,9.852.681,5000.00,[Fe/H],2021-05-28
201,BD-00 4475 b,BD-00 4475,1,1,Radial Velocity,2021,Haute-Provence Observatory,0,70.875.735,5040.00,[Fe/H],2021-05-28
